dayofyear,encounter_type,change_n_interactions
2020-06-02,poi,-87.52657019211823
2020-06-02,other,-70.75291609510074
2020-06-03,other,-72.47614129892627
2020-06-03,poi,-87.7549605456951
2020-06-03,business,-91.4345207163979
2020-06-03,home,-17.688136351647533
2020-06-04,home,-15.618443221924494
2020-06-04,business,-91.10216658993568
2020-06-04,other,-61.584471435075685
2020-06-04,poi,-82.62387068918673
2020-06-05,poi,-89.73025438629251
2020-06-05,business,-91.42400166905074
2020-06-05,home,-24.75777275479424
2020-06-05,other,-68.92198443280553
2020-06-06,poi,-88.57740027507067
2020-06-06,other,-58.463394163937224
2020-06-06,home,-18.82023620787624
2020-06-06,business,-59.28797683414304
2020-06-07,other,-61.42927310098655
2020-06-07,home,-22.948310077131584
2020-06-07,business,-49.626879779132395
2020-06-07,poi,-79.29887028352255
2020-06-08,other,-57.56735948602175
2020-06-08,poi,-81.69522704615471
2020-06-08,business,-90.41251699179497
2020-06-08,home,-22.264395337721364
2020-06-09,business,-90.71820862312488
2020-06-09,other,-51.901874644017255
2020-06-09,poi,-75.46912680770652
2020-06-09,home,-11.831797244187603
2020-06-10,other,-53.9428358954805
2020-06-10,poi,-82.19053278748791
2020-06-10,home,-11.97895554961711
2020-06-10,business,-90.70959037983076
2020-06-11,other,-65.59878887360263
2020-06-11,business,-90.5218843080173
2020-06-11,home,-15.018013268769492
2020-06-11,poi,-84.97981041835685
2020-06-12,other,-51.84805234398691
2020-06-12,business,-91.1521637987153
2020-06-12,poi,-79.95449445989537
2020-06-12,home,-16.65006932140194
2020-06-13,other,-50.161919580760205
2020-06-13,home,-12.837592460358493
2020-06-13,poi,-83.88911017542662
2020-06-13,business,-57.439639551787955
2020-06-14,business,-45.773520765936716
2020-06-14,poi,-81.24261388316583
2020-06-14,other,-57.62198580286051
2020-06-14,home,-17.7056965988038
2020-06-15,home,-16.951131680477673
2020-06-15,other,-49.314192819287975
2020-06-15,poi,-79.8231706573605
2020-06-15,business,-89.70478864338493
